
[+] General Parameters:
Training data:	train_without_counter.txt
Validation data:	val_without_counter.txt
Feature vector representation: Dense.
Ranking method:	LambdaMART
Feature description file:	Unspecified. All features will be used.
Train metric:	NDCG@5
Test metric:	NDCG@5
Feature normalization: No
Model file: LambdaMART_without_counter

[+] LambdaMART's Parameters:
No. of trees: 1000
No. of leaves: 10
No. of threshold candidates: 256
Learning rate: 0.1
Stop early: 100 rounds without performance gain on validation data

Reading feature file [train_without_counter.txt]: 0... Reading feature file [train_without_counter.txt]... [Done.]            
(96 ranked lists, 792 entries read)
Reading feature file [val_without_counter.txt]: 0... Reading feature file [val_without_counter.txt]... [Done.]            
(30 ranked lists, 198 entries read)
Initializing... [Done]
---------------------------------
Training starts...
---------------------------------
#iter   | NDCG@5-T  | NDCG@5-V  | 
---------------------------------
87      | 0.7817    | 0.7489    | 
88      | 0.7831    | 0.7489    | 
89      | 0.7832    | 0.7489    | 
90      | 0.7832    | 0.7489    | 
91      | 0.7832    | 0.7489    | 
92      | 0.7832    | 0.7489    | 
93      | 0.7844    | 0.7489    | 
94      | 0.7845    | 0.7489    | 
95      | 0.7843    | 0.7489    | 
96      | 0.7843    | 0.7489    | 
97      | 0.7843    | 0.7489    | 
98      | 0.7841    | 0.7489    | 
99      | 0.784     | 0.7489    | 
100     | 0.784     | 0.7489    | 
101     | 0.7843    | 0.7463    | 
102     | 0.7843    | 0.7463    | 
103     | 0.7843    | 0.7463    | 
104     | 0.7843    | 0.7463    | 
105     | 0.7843    | 0.7427    | 
106     | 0.7843    | 0.7427    | 
107     | 0.7849    | 0.7427    | 
108     | 0.784     | 0.7427    | 
109     | 0.784     | 0.7427    | 
110     | 0.7847    | 0.7427    | 
111     | 0.7847    | 0.7427    | 
112     | 0.786     | 0.7427    | 
113     | 0.7855    | 0.7427    | 
114     | 0.7862    | 0.7427    | 
115     | 0.7864    | 0.7427    | 
116     | 0.7864    | 0.7427    | 
117     | 0.7869    | 0.7427    | 
118     | 0.7867    | 0.7427    | 
119     | 0.7862    | 0.7427    | 
120     | 0.7872    | 0.7499    | 
121     | 0.7872    | 0.7499    | 
122     | 0.7872    | 0.7487    | 
123     | 0.7875    | 0.7487    | 
124     | 0.7875    | 0.7487    | 
125     | 0.7875    | 0.7487    | 
126     | 0.7875    | 0.7487    | 
127     | 0.788     | 0.7487    | 
128     | 0.788     | 0.7487    | 
129     | 0.788     | 0.7479    | 
130     | 0.7882    | 0.7479    | 
131     | 0.7908    | 0.7495    | 
132     | 0.7908    | 0.7495    | 
133     | 0.7908    | 0.7495    | 
134     | 0.7908    | 0.7495    | 
135     | 0.7908    | 0.7495    | 
136     | 0.7908    | 0.7495    | 
137     | 0.7908    | 0.749     | 
138     | 0.7908    | 0.749     | 
139     | 0.7908    | 0.749     | 
140     | 0.7908    | 0.749     | 
141     | 0.7908    | 0.749     | 
142     | 0.7908    | 0.749     | 
143     | 0.7908    | 0.749     | 
144     | 0.7908    | 0.749     | 
145     | 0.7908    | 0.749     | 
146     | 0.7908    | 0.749     | 
147     | 0.7908    | 0.7498    | 
148     | 0.791     | 0.7457    | 
149     | 0.7904    | 0.7457    | 
150     | 0.7906    | 0.7457    | 
151     | 0.7897    | 0.7457    | 
152     | 0.7915    | 0.7457    | 
---------------------------------
Finished sucessfully.
NDCG@5 on training data: 0.771
NDCG@5 on validation data: 0.7641
---------------------------------

Model saved to: LambdaMART_without_counter
